City,Year,Shell,Volume,Mileage,Transmission,Rudder,Color,Gear,CustomsCleared,Type Engine,Price,Company,Model
Нур-Султан (Астана),2007,внедорожник,2.7,215772,автомат,слева,белый металлик,полный привод,Да,газ-бензин,8000000,Toyota,Land Cruiser Prado
Алматы,2019,внедорожник,4.5,50000,автомат,слева,черный,полный привод,Да,дизель,33000000,Toyota,Land Cruiser
Актау,2014,кроссовер,2.0,130000,типтроник,слева,голубой металлик,передний привод,Да,газ-бензин,6500000,Kia,Soul
Алматы,1997,минивэн,2.0,358749,механика,слева,фиолетовый металлик,передний привод,Да,бензин,3500000,Toyota,Picnic
Павлодар,2011,седан,3.5,140000,типтроник,слева,черный,передний привод,Да,бензин,8100000,Toyota,Camry
Караганда,1995,хэтчбек,1.6,150000,механика,слева,серый металлик,передний привод,Да,бензин,1000000,Opel,Vectra
Нур-Султан (Астана),2011,внедорожник,4.0,229000,типтроник,слева,серый металлик,полный привод,Да,газ-бензин,15000000,Toyota,Land Cruiser Prado
Семей,2011,хэтчбек,1.6,168000,механика,слева,серебристый металлик,передний привод,Да,бензин,1580000,ВАЗ (Lada),2114 (хэтчбек)
Шымкент,1991,универсал,2.6,2600,механика,слева,серый металлик,полный привод,Да,газ-бензин,2000000,Mercedes-Benz,E 260
Алматы,2017,купе,4.0,24000,автомат,слева,серый,полный привод,Да,бензин,49000000,Mercedes-Benz,S 560
Нур-Султан (Астана),2016,седан,1.6,51500,автомат,слева,вишня,передний привод,Да,бензин,5100000,Volkswagen,Polo
Актобе,2011,седан,1.6,160000,механика,слева,черный,передний привод,Нет,бензин,980000,Daewoo,Nexia
Алматы,2007,кроссовер,3.5,109000,типтроник,слева,бордовый металлик,полный привод,Да,бензин,8800000,Lexus,RX 350
Шымкент,2011,седан,1.5,89658,механика,слева,белый металлик,передний привод,Да,бензин,1850000,Daewoo,Nexia
Актобе,2019,внедорожник,4.6,10691,автомат,слева,,полный привод,Нет,бензин,27000000,Toyota,Land Cruiser
Актобе,2013,внедорожник,2.7,104000,автомат,слева,,полный привод,Нет,бензин,10500000,Toyota,Land Cruiser Prado
Актау,2008,кроссовер,2.5,210000,автомат,слева,белый металлик,полный привод,Да,газ-бензин,4800000,Nissan,X-Trail
Алматы,2014,микроавтобус,2.5,170000,механика,справа,белый,полный привод,Да,газ-бензин,5000000,ГАЗГАЗель,
Нур-Султан (Астана),2007,седан,1.5,99,механика,слева,серый металлик,передний привод,Нет,бензин,995000,ВАЗ (Lada),2115 (седан)
Актау,2014,хэтчбек,1.6,101000,типтроник,слева,бежевый металлик,передний привод,Да,газ-бензин,5000000,Kia,Cee’d
Алматы,2020,внедорожник,1.7,10,механика,слева,белый металлик,полный привод,Да,бензин,4799000,ВАЗ (Lada),2121 Нива
Актобе,2012,хэтчбек,1.6,136000,механика,слева,бордовый металлик,передний привод,Нет,бензин,1300000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,2015,седан,1.6,60000,типтроник,слева,черный металлик,передний привод,Да,бензин,5200000,Hyundai,Solaris
Актау,2015,кроссовер,2.0,56000,автомат,слева,серый металлик,передний привод,Да,бензин,9700000,Toyota,RAV 4
Кокшетау,2016,внедорожник,6.3,18000,типтроник,слева,черный,полный привод,Да,бензин,55000000,Mercedes-Benz,G 63 AMG
Нур-Султан (Астана),2003,седан,2.0,330000,механика,слева,черный,задний привод,Да,бензин,2900000,Mercedes-Benz,C 200
Алматы,2007,внедорожник,5.4,402335,автомат,слева,черный,полный привод,Да,бензин,8000000,Lincoln,Navigator
Тараз,2007,седан,3.5,200000,автомат,слева,серебристый металлик,передний привод,Да,газ-бензин,6500000,Lexus,ES 350
Алматы,2008,седан,1.8,226000,автомат,слева,черный металлик,передний привод,Да,бензин,4700000,Audi,A4
Нур-Султан (Астана),2012,седан,1.6,85000,механика,слева,серый,передний привод,Нет,бензин,2700000,Volkswagen,Polo
Алматы,2006,седан,5.0,195000,автомат,слева,черный,,Нет,бензин,3800000,Mercedes-Benz,CLS 500
Алматы,2004,кроссовер,2.5,270000,автомат,слева,зеленый металлик,полный привод,Да,бензин,4200000,Nissan,X-Trail
Атырау,2012,седан,2.0,144000,автомат,слева,черный металлик,передний привод,Нет,бензин,2900000,Ford,Focus
Шымкент,2019,седан,2.0,21100,автомат,слева,белый,полный привод,Да,бензин,12200000,Genesis,G70
Нур-Султан (Астана),2018,седан,1.6,56000,автомат,слева,черный,передний привод,Да,бензин,7190000,Hyundai,Elantra
Кокшетау,2010,хэтчбек,1.7,200000,механика,слева,серебристый металлик,полный привод,Да,бензин,2500000,Chevrolet,Niva
Актобе,2012,кроссовер,2.4,74000,автомат,слева,белый,полный привод,Да,бензин,5800000,Chevrolet,Captiva
Нур-Султан (Астана),2005,седан,3.0,158000,автомат,справа,белый металлик,задний привод,Нет,бензин,2900000,Toyota,Crown
Павлодар,1992,хэтчбек,1.6,260000,механика,слева,серый,передний привод,Да,бензин,840000,Mazda,323
Актау,2003,седан,1.8,195000,механика,слева,,,Да,бензин,2100000,Skoda,Superb
Алматы,2014,седан,1.6,100000,типтроник,слева,белый металлик,передний привод,Да,бензин,5000000,Kia,Rio
Нур-Султан (Астана),2004,седан,2.7,355886,автомат,слева,черный металлик,передний привод,Нет,газ-бензин,1900000,Hyundai,Sonata
Щучинск,2000,кроссовер,3.2,160000,автомат,слева,белый,полный привод,Да,газ-бензин,3300000,Mercedes-Benz,ML 320
Шымкент,2017,седан,1.6,26000,автомат,слева,белый металлик,передний привод,Да,бензин,5800000,Volkswagen,Polo
Нур-Султан (Астана),2019,седан,1.6,40237,автомат,слева,белый,передний привод,Да,бензин,6800000,Hyundai,Elantra
Нур-Султан (Астана),2015,седан,1.4,69500,автомат,слева,серебристый,передний привод,Да,бензин,4450000,Hyundai,Solaris
Жезказган,2011,седан,2.4,247000,автомат,слева,черный,передний привод,Да,бензин,6200000,Toyota,Camry
Есик,2005,внедорожник,5.6,320000,автомат,слева,белый металлик,полный привод,Да,бензин,5200000,Nissan,Armada
Усть-Каменогорск,2007,универсал,2.5,137000,автомат,слева,серебристый металлик,полный привод,Да,бензин,5100000,Subaru,Outback
Нур-Султан (Астана),2009,хэтчбек,1.8,150000,автомат,слева,красный,,Нет,бензин,2200000,Mercedes-Benz,A 180
Костанай,2006,седан,1.6,290000,механика,слева,черный металлик,передний привод,Нет,газ-бензин,1400000,Ford,Focus
Шымкент,2007,седан,1.2,72825,механика,слева,белый,передний привод,Да,бензин,1700000,Skoda,Fabia
Шымкент,2019,седан,2.5,27000,автомат,слева,черный,передний привод,Да,бензин,15500000,Kia,K7
Актау,2006,седан,3.5,156000,автомат,слева,черный металлик,задний привод,Да,газ-бензин,7000000,Mercedes-Benz,S 350
Алматы,2013,седан,3.8,36000,автомат,слева,коричневый металлик,задний привод,Да,бензин,12200000,Hyundai,Equus
Атырау,2014,седан,1.6,123000,автомат,слева,серый металлик,передний привод,Да,бензин,2700000,ВАЗ (Lada),2190 (седан)
Усть-Каменогорск,2015,седан,1.4,60000,автомат,слева,синий металлик,передний привод,Да,бензин,4500000,Hyundai,Accent
Кульсары,2003,седан,2.6,340,автомат,слева,серебристый металлик,задний привод,Да,газ-бензин,3100000,Mercedes-Benz,E 260
Костанай,1995,седан,3.2,315000,автомат,слева,белый,задний привод,Да,бензин,2550000,Mercedes-Benz,S 320
Шымкент,2007,кроссовер,3.6,160000,автомат,слева,серебристый металлик,полный привод,Да,бензин,7800000,Audi,Q7
Нур-Султан (Астана),2014,хэтчбек,1.6,19150,механика,слева,белый металлик,передний привод,Да,бензин,3800000,Renault,Sandero
Павлодар,2007,седан,1.5,210000,механика,слева,синий,передний привод,Нет,бензин,850000,Chevrolet,Lanos
Нур-Султан (Астана),2013,внедорожник,4.0,179000,автомат,слева,черный металлик,полный привод,Да,газ-бензин,18700000,Toyota,Land Cruiser
Алматы,2012,кроссовер,2.0,200000,вариатор,слева,серый,,Да,газ-бензин,5500000,Nissan,Qashqai
Нур-Султан (Астана),2015,седан,1.6,88300,вариатор,слева,белый металлик,передний привод,Да,бензин,6600000,Toyota,Corolla
Алматы,2008,внедорожник,4.7,186000,автомат,слева,черный металлик,полный привод,Да,бензин,14100000,Toyota,Land Cruiser
Шымкент,2018,минивэн,2.0,45000,автомат,слева,синий металлик,передний привод,Да,газ,9300000,Kia,Carens
Экибастуз,2019,хэтчбек,1.8,23000,автомат,слева,черный,передний привод,Да,бензин,4600000,ВАЗ (Lada),XRAY
Алматы,2011,седан,1.6,150000,механика,слева,зеленый,передний привод,Нет,бензин,1610000,ВАЗ (Lada),2170 (седан)
Алматы,1996,кроссовер,2.5,267000,автомат,справа,белый,полный привод,Да,дизель,2750000,Mazda,MPV
Алматы,2010,пикап,5.7,140000,автомат,слева,белый,полный привод,Да,бензин,21000000,Toyota,Tundra
Актобе,2014,седан,1.6,171000,механика,слева,белый,передний привод,Да,бензин,2200000,ВАЗ (Lada),2170 (седан)
Алматы,2019,кабриолет,2.0,11000,автомат,слева,,передний привод,Да,бензин,16500000,Mini,Cabrio
Нур-Султан (Астана),2012,внедорожник,4.0,115000,автомат,слева,белый,полный привод,Да,бензин,18500000,Toyota,Land Cruiser
Нур-Султан (Астана),2012,хэтчбек,1.6,120000,автомат,слева,черный металлик,передний привод,Да,бензин,4100000,Hyundai,Accent
Алматы,2019,внедорожник,5.6,19500,автомат,слева,белый,полный привод,Да,бензин,28990000,Infiniti,QX80
Атырау,2014,седан,2.0,98000,автомат,слева,коричневый,задний привод,Нет,бензин,6500000,Jaguar,XF
Алматы,2014,седан,2.5,158000,автомат,слева,синий металлик,,Да,газ-бензин,7600000,Toyota,Camry
Алматы,2013,внедорожник,4.6,102000,автомат,слева,серый металлик,полный привод,Да,бензин,21300000,Toyota,Land Cruiser
Нур-Султан (Астана),2019,хэтчбек,1.6,40000,механика,слева,белый,передний привод,Да,бензин,4700000,ВАЗ (Lada),XRAY
Шымкент,2008,пикап,2.5,328000,механика,слева,серебристый металлик,полный привод,Да,дизель,3500000,Mitsubishi,L200
Усть-Каменогорск,2004,пикап,2.7,25000,механика,слева,серый металлик,полный привод,Да,бензин,2500000,УАЗ,Pickup
Актау,2008,внедорожник,5.7,165000,автомат,слева,вишня металлик,полный привод,Да,газ-бензин,16000000,Toyota,Land Cruiser
Костанай,2015,внедорожник,3.0,176000,автомат,слева,серебристый металлик,полный привод,Да,газ-бензин,13500000,Mitsubishi,Pajero
Костанай,2011,универсал,1.6,53000,механика,слева,синий металлик,задний привод,Нет,бензин,1100000,ВАЗ (Lada),2104
Павлодар,2018,купе,5.0,128,автомат,слева,черный,задний привод,Да,бензин,70000000,BMW,650
Алматы,2006,седан,3.0,80000,типтроник,слева,черный металлик,задний привод,Да,бензин,7000000,BMW,530
Костанай,2005,купе,5.0,160000,автомат,слева,черный металлик,задний привод,Да,бензин,7500000,Mercedes-Benz,CLS 500
Семей,2020,седан,1.6,5,автомат,слева,серебристый металлик,передний привод,Да,бензин,6890000,Hyundai,Accent
Талдыкорган,1994,седан,1.8,201685,механика,слева,красный,,Да,бензин,1500000,Mercedes-Benz,C 180
Актау,2011,седан,3.0,250000,автомат,слева,черный,полный привод,Нет,газ-бензин,4300000,BMW,328
Алматы,2014,седан,1.6,185000,автомат,слева,белый,передний привод,Да,бензин,4650000,Kia,Rio
Нур-Султан (Астана),2007,кроссовер,2.5,284000,автомат,слева,черный,полный привод,Да,газ,5750000,Nissan,X-Trail
Шымкент,2000,седан,2.8,2130000,автомат,слева,синий металлик,задний привод,Да,бензин,3500000,Mercedes-Benz,E 280
Алматы,1992,седан,2.2,450000,механика,слева,красный металлик,передний привод,Да,бензин,1650000,Toyota,Camry
Нур-Султан (Астана),2001,кроссовер,3.0,180000,автомат,слева,серебристый,,Да,бензин,2900000,Mazda,Tribute
Актобе,2009,хэтчбек,1.5,146000,механика,слева,серебристый металлик,,Нет,бензин,750000,ВАЗ (Lada),2114 (хэтчбек)
Усть-Каменогорск,2008,внедорожник,4.2,260000,типтроник,слева,золотистый металлик,полный привод,Да,бензин,7500000,Rover,Land Range  Sport
Кызылорда,1996,седан,2.8,200000,типтроник,слева,фиолетовый металлик,задний привод,Да,газ-бензин,2300000,BMW,728
Алматы,2007,кроссовер,2.4,96000,автомат,слева,белый,полный привод,Да,бензин,6500000,Honda,CR-V
Алматы,2015,седан,1.6,52000,механика,слева,черный металлик,передний привод,Да,бензин,2500000,Datsun,on-DO
Актобе,2003,седан,1.6,26787,механика,слева,серебристый металлик,передний привод,Да,газ-бензин,750000,ВАЗ (Lada),2110 (седан)
Атырау,2013,хэтчбек,1.5,81000,автомат,слева,черный металлик,передний привод,Да,бензин,2700000,MG,5
Атырау,2013,седан,2.5,157000,типтроник,слева,черный,,Нет,газ-бензин,5500000,Toyota,Camry
Актобе,2001,седан,1.6,215995,механика,слева,голубой металлик,передний привод,Нет,бензин,2000000,Opel,Astra
Алматы,2016,седан,1.6,120000,механика,слева,серый металлик,передний привод,Да,бензин,2600000,ВАЗ (Lada),2190 (седан)
Жаркент,1996,седан,2.0,276000,автомат,справа,белый,передний привод,Да,бензин,1800000,Nissan,Cefiro
Нур-Султан (Астана),2010,седан,1.5,344522,механика,слева,белый,передний привод,Да,газ-бензин,1200000,Daewoo,Nexia
Алматы,2012,кроссовер,3.5,96000,автомат,слева,белый металлик,полный привод,Да,газ-бензин,12400000,Lexus,RX 350
Актобе,2019,седан,1.6,41000,типтроник,слева,черный металлик,передний привод,Нет,бензин,4300000,Volkswagen,Polo
Нур-Султан (Астана),2013,седан,3.5,127000,автомат,слева,черный металлик,передний привод,Да,бензин,8500000,Kia,Cadenza
Алматы,2015,кроссовер,2.7,47000,автомат,слева,коричневый металлик,передний привод,Да,бензин,15000000,Lexus,RX 270
Алматы,2007,внедорожник,3.0,159000,механика,слева,,,Да,дизель,6900000,Nissan,Patrol
Актобе,2012,кроссовер,2.0,86000,автомат,слева,белый металлик,полный привод,Да,бензин,9000000,Toyota,RAV 4
Нур-Султан (Астана),2004,минивэн,2.0,150000,автомат,справа,белый,полный привод,Нет,бензин,2500000,Honda,Stepwgn
Жетысай,2006,седан,3.5,189000,типтроник,слева,серебристый металлик,задний привод,Да,бензин,4700000,Mercedes-Benz,E 350
Актобе,2018,кроссовер,1.6,90000,механика,слева,зеленый,полный привод,Нет,бензин,4600000,Renault,Duster
Нур-Султан (Астана),2019,седан,1.6,32000,механика,слева,красный,передний привод,Да,бензин,5490000,ВАЗ (Lada),Vesta
Тараз,2005,хэтчбек,1.4,282000,робот,слева,серый металлик,передний привод,Да,дизель,3200000,Toyota,Corolla
Нур-Султан (Астана),2012,лифтбек,1.8,200,автомат,слева,черный,передний привод,Да,бензин,4800000,Skoda,Superb
Атырау,2016,кроссовер,3.5,32300,автомат,слева,,полный привод,Да,бензин,23700000,Lexus,RX 350
Алматы,1995,внедорожник,2.8,320,автомат,справа,синий металлик,полный привод,Да,дизель,2400000,Mitsubishi,Pajero
Нур-Султан (Астана),2013,седан,1.6,150000,автомат,слева,серый металлик,передний привод,Да,бензин,5000000,Kia,Cerato
Нур-Султан (Астана),2014,внедорожник,3.5,140000,вариатор,слева,черный,полный привод,Да,бензин,9000000,Nissan,Pathfinder
Тараз,2006,кроссовер,3.5,220000,автомат,слева,зеленый металлик,передний привод,Нет,газ-бензин,4500000,Honda,Odyssey
Костанай,1993,седан,2.2,100000,автомат,слева,коричневый металлик,задний привод,Да,бензин,1700000,Mercedes-Benz,C 220
Актобе,2015,фургон,2.9,110000,механика,слева,белый,полный привод,Да,газ-бензин,4500000,ГАЗГАЗель,
Шымкент,2012,седан,1.6,105000,автомат,слева,черный металлик,передний привод,Да,бензин,4000000,Hyundai,Solaris
Караганда,2008,седан,3.0,127305,типтроник,справа,черный,задний привод,Нет,бензин,3500000,Toyota,Crown
Караганда,2008,кроссовер,2.3,170000,автомат,слева,серебристый металлик,передний привод,Да,бензин,3500000,Mazda,CX-7
Нур-Султан (Астана),2016,внедорожник,5.7,69000,автомат,слева,белый,полный привод,Да,бензин,36500000,Lexus,LX 570
Павлодар,2016,внедорожник,5.7,69000,автомат,слева,белый,полный привод,Да,бензин,36500000,Lexus,LX 570
Актау,1991,седан,2.6,319605,автомат,слева,серебристый,задний привод,Да,газ-бензин,1300000,Mercedes-Benz,E 260
Шымкент,1988,седан,1.8,77777,механика,слева,белый,передний привод,Да,бензин,400000,Mitsubishi,Galant
Караганда,2007,седан,1.6,185000,автомат,слева,серебристый,,Да,бензин,4100000,Toyota,Corolla
Нур-Султан (Астана),2013,седан,1.6,46000,автомат,слева,синий металлик,передний привод,Нет,бензин,2100000,ВАЗ (Lada),2190 (седан)
Алматы,2007,седан,1.6,234000,механика,слева,белый,передний привод,Да,бензин,1550000,Daewoo,Nexia
Алматы,2020,лифтбек,1.6,31000,типтроник,слева,белый металлик,передний привод,Да,бензин,7900000,Skoda,Octavia
Нур-Султан (Астана),2006,седан,2.4,265000,автомат,слева,голубой металлик,передний привод,Да,бензин,4800000,Toyota,Camry
Алматы,2013,кроссовер,1.6,58000,вариатор,слева,белый,передний привод,Да,бензин,7000000,Nissan,Qashqai
Шымкент,2009,кроссовер,4.4,255000,автомат,слева,черный металлик,полный привод,Да,бензин,8500000,BMW,X6
Тараз,1992,седан,2.6,3333333,механика,слева,коричневый,задний привод,Да,бензин,900000,Mercedes-Benz,E 260
Шымкент,2015,седан,1.6,81000,типтроник,слева,серебристый металлик,полный привод,Да,бензин,4700000,Hyundai,Accent
Атырау,2006,седан,1.5,140000,механика,слева,серебристый,,Да,бензин,2300000,Mitsubishi,Lancer
Шымкент,2014,фургон,2.9,235000,механика,слева,белый металлик,задний привод,Да,бензин,4900000,ГАЗГАЗель,
Семей,2011,внедорожник,2.7,137000,автомат,слева,белый,полный привод,Да,бензин,13000000,Toyota,Land Cruiser Prado
Нур-Султан (Астана),2006,седан,3.5,165000,типтроник,слева,серый металлик,задний привод,Да,бензин,6800000,Mercedes-Benz,S 350
Нур-Султан (Астана),2008,седан,3.5,49000,автомат,справа,черный,задний привод,Да,бензин,7700000,Toyota,Crown
Костанай,2003,седан,3.0,308000,автомат,слева,серебристый,задний привод,Да,газ-бензин,3500000,BMW,530
Нур-Султан (Астана),1995,купе,2.0,260000,автомат,слева,красный,передний привод,Да,бензин,2000000,Volkswagen,Golf
Алматы,2004,седан,5.5,121000,типтроник,слева,черный металлик,задний привод,Да,бензин,7500000,Mercedes-Benz,E 55 AMG
Алматы,2020,кроссовер,2.0,110,автомат,слева,,полный привод,Да,бензин,17950000,Toyota,RAV 4
Атырау,2010,кроссовер,2.4,170000,типтроник,слева,серый металлик,полный привод,Да,газ-бензин,6500000,Kia,Sorento
Костанай,2017,кроссовер,2.0,88845,вариатор,слева,черный,полный привод,Да,бензин,8780000,Mitsubishi,Outlander
Отеген-Батыр,1993,универсал,1.8,150000,механика,слева,серебристый,передний привод,Да,бензин,1450000,Volkswagen,Golf
Усть-Каменогорск,2015,хэтчбек,1.6,72000,механика,слева,черный,передний привод,Да,бензин,2500000,ВАЗ (Lada),2172 (хэтчбек)
Алматы,2020,кроссовер,3.0,10,типтроник,слева,черный металлик,полный привод,Да,бензин,38500000,BMW,X5
Нур-Султан (Астана),2007,минивэн,3.5,188000,автомат,справа,белый металлик,полный привод,Нет,бензин,4300000,Toyota,Estima
Актобе,2003,седан,3.0,257400,автомат,слева,серый металлик,передний привод,Нет,бензин,3600000,Toyota,Camry
Костанай,2015,седан,2.0,90000,автомат,слева,серебристый металлик,передний привод,Да,бензин,9050000,Toyota,Camry
Нур-Султан (Астана),2014,седан,3.5,102000,типтроник,слева,серый,передний привод,Да,бензин,8300000,Kia,Cadenza
Актау,2014,седан,1.5,159000,вариатор,слева,белый,,Да,бензин,3600000,Haima,M3
Уральск,2019,седан,2.5,21000,автомат,слева,серый,передний привод,Да,бензин,12800000,Toyota,Camry
Шелек,2005,хэтчбек,1.5,484381,механика,слева,серый,передний привод,Да,бензин,900000,ВАЗ (Lada),2114 (хэтчбек)
Алматы,1992,седан,3.0,303000,механика,слева,бордовый металлик,передний привод,Да,бензин,800000,Mitsubishi,Sigma
Нур-Султан (Астана),2008,седан,1.6,85000,автомат,слева,серый металлик,передний привод,Нет,бензин,3700000,Toyota,Corolla
Алматы,2012,седан,2.5,190000,автомат,слева,черный металлик,передний привод,Да,газ-бензин,8600000,Toyota,Camry
Актобе,2019,седан,2.5,53000,автомат,слева,серебристый металлик,,Да,бензин,13200000,Toyota,Camry
Талдыкорган,1995,седан,2.0,530598,механика,слева,зеленый металлик,передний привод,Да,бензин,1750000,Nissan,Maxima
Агадырь,2008,кроссовер,3.5,175360,типтроник,слева,черный металлик,полный привод,Да,газ-бензин,8300000,Lexus,RX 350
Караганда,2017,седан,3.0,33000,автомат,слева,черный,полный привод,Да,бензин,25000000,BMW,540
Алматы,2014,внедорожник,2.7,51500,автомат,слева,белый металлик,полный привод,Да,бензин,15880000,Toyota,Land Cruiser Prado
Алматы,2005,минивэн,1.9,250000,механика,слева,белый,передний привод,Да,дизель,3700000,Renault,Trafic
Нур-Султан (Астана),2016,седан,1.6,161,механика,слева,белый,передний привод,Нет,бензин,2300000,Volkswagen,Polo
Шымкент,2008,седан,3.0,215000,автомат,слева,серый металлик,полный привод,Да,бензин,6000000,BMW,525
Павлодар,2013,седан,3.5,127000,автомат,слева,черный,передний привод,Да,бензин,8500000,Kia,Cadenza
Уральск,2006,седан,3.0,250000,автомат,слева,серебристый,,Да,газ-бензин,4600000,Toyota,Camry
Алматы,2013,седан,2.0,116000,робот,слева,серый металлик,полный привод,Да,бензин,12000000,Mercedes-Benz,CLA 45 AMG
Шымкент,2014,седан,1.5,100000,механика,слева,белый,передний привод,Да,бензин,3050000,Daewoo,Gentra
Шымкент,2012,седан,1.6,1174411,механика,слева,белый металлик,передний привод,Да,бензин,1888996,ВАЗ (Lada),2170 (седан)
Алматы,1994,внедорожник,3.0,300000,автомат,справа,зеленый металлик,,Да,дизель,5000000,Toyota,Land Cruiser Prado
Алматы,1997,седан,2.5,378000,автомат,слева,синий,передний привод,Да,бензин,1950000,Mitsubishi,Galant
Актобе,2008,седан,1.5,1300000,механика,слева,серебристый металлик,передний привод,Нет,бензин,900000,Daewoo,Nexia
Усть-Каменогорск,1990,седан,2.5,300025,механика,слева,бежевый,задний привод,Да,бензин,400000,ГАЗ2410 (Волга),
Нур-Султан (Астана),2014,внедорожник,5.7,90000,автомат,слева,белый металлик,полный привод,Да,бензин,26900000,Lexus,LX 570
Павлодар,2004,фургон,3.0,192000,автомат,слева,белый,задний привод,Нет,газ-бензин,3200000,ГАЗГАЗель,
Атырау,2012,седан,1.6,140000,механика,слева,голубой металлик,передний привод,Нет,бензин,2300000,Ford,Focus
Нур-Султан (Астана),2012,внедорожник,5.0,125000,автомат,слева,коричневый металлик,полный привод,Да,бензин,11000000,Rover,Land Range  Sport
Ленгер,1990,универсал,1.8,335000,механика,слева,белый металлик,передний привод,Да,газ-бензин,1350000,Volkswagen,Passat
Уральск,2003,седан,2.0,2000000,механика,слева,серый,передний привод,Да,газ-бензин,1300000,Hyundai,Sonata
Нур-Султан (Астана),2013,кроссовер,2.0,131821,автомат,слева,белый,полный привод,Да,бензин,7500000,Hyundai,Tucson
Нур-Султан (Астана),2017,внедорожник,4.6,14000,автомат,слева,черный металлик,полный привод,Да,бензин,34000000,Toyota,Land Cruiser
Шымкент,2010,фургон,2.9,120000,механика,слева,,,Да,газ-бензин,4400000,ГАЗГАЗель,
Алматы,1990,седан,2.0,430000,автомат,слева,фиолетовый,задний привод,Да,бензин,1400000,Mercedes-Benz,190
Аксай,2014,кроссовер,4.4,111111,автомат,слева,серый металлик,полный привод,Да,бензин,15100000,BMW,X5
Кокшетау,2007,кроссовер,4.2,222000,автомат,слева,синий,полный привод,Да,бензин,6200000,Audi,Q7
Костанай,2017,кроссовер,2.0,23000,автомат,слева,белый,полный привод,Да,бензин,21000000,Lexus,RX 200t
Алматы,1998,седан,1.5,100000,механика,слева,белый,задний привод,Да,бензин,500000,ВАЗ (Lada),2107
Алматы,2006,седан,3.0,152000,типтроник,слева,белый металлик,полный привод,Да,бензин,4300000,Subaru,Legacy
Кокшетау,2014,купе,2.0,53000,автомат,слева,белый,передний привод,Да,бензин,6200000,Kia,Cerato Koup
Алматы,1996,седан,3.0,198500,автомат,справа,белый металлик,передний привод,Да,бензин,2100000,Nissan,Cefiro
Алматы,2018,кроссовер,1.5,36000,вариатор,слева,серебристый металлик,полный привод,Да,бензин,10250000,Mitsubishi,Eclipse Cross
Нур-Султан (Астана),2014,внедорожник,3.0,71000,автомат,слева,серебристый металлик,полный привод,Да,дизель,15200000,Toyota,Land Cruiser Prado
Алматы,2013,хэтчбек,1.8,230000,механика,слева,серебристый металлик,передний привод,Да,бензин,2790000,Skoda,Octavia
Алматы,2020,кроссовер,2.0,5,автомат,слева,синий металлик,передний привод,Да,бензин,10490000,Hyundai,Tucson
Усть-Каменогорск,2016,кроссовер,2.0,97000,автомат,слева,белый,полный привод,Да,бензин,5700000,Renault,Duster
Риддер,1998,кроссовер,3.0,345000,автомат,справа,белый,полный привод,Да,бензин,3900000,Toyota,Harrier
Алматы,2010,пикап,3.0,101000,автомат,слева,серебристый,полный привод,Да,дизель,8900000,Toyota,Hilux
Актобе,2006,внедорожник,3.5,189000,автомат,слева,серебристый,полный привод,Да,бензин,5200000,Mitsubishi,Pajero
Актау,2014,седан,1.6,70000,механика,слева,белый,передний привод,Нет,бензин,3200000,Nissan,Almera
Караганда,1993,минивэн,1.8,170000,механика,слева,синий,передний привод,Да,бензин,1300000,Mitsubishi,Space Runner
Кызылорда,1994,седан,2.2,330000,механика,слева,зеленый металлик,задний привод,Да,бензин,1500000,Mercedes-Benz,C 220
Алматы,2005,седан,3.5,150000,автомат,слева,бежевый металлик,задний привод,Да,бензин,4200000,Chrysler,300C
Нур-Султан (Астана),2019,седан,1.6,24000,автомат,слева,белый,передний привод,Да,бензин,7600000,Hyundai,Elantra
Актобе,2012,седан,1.6,160000,механика,слева,белый металлик,передний привод,Да,бензин,2400000,ВАЗ (Lada),2170 (седан)
Алматы,2014,седан,1.6,83000,автомат,слева,серебристый металлик,передний привод,Да,бензин,5050000,Hyundai,Accent
Караганда,2019,седан,1.6,30600,автомат,слева,белый,передний привод,Да,бензин,3999000,ВАЗ (Lada),2190 (седан)
Актау,2005,седан,1.5,300,механика,слева,серебристый металлик,передний привод,Да,газ-бензин,1300000,Daewoo,Nexia
Уральск,2010,седан,1.5,170000,механика,слева,черный металлик,передний привод,Нет,бензин,900000,Daewoo,Nexia
Нур-Султан (Астана),1993,седан,1.6,293000,механика,слева,вишня,передний привод,Да,газ-бензин,850000,Opel,Astra
Уральск,2009,хэтчбек,1.6,230000,механика,слева,черный металлик,передний привод,Нет,бензин,650000,ВАЗ (Lada),2114 (хэтчбек)
Кокшетау,1993,седан,1.8,220000,механика,слева,коричневый металлик,передний привод,Да,бензин,1400000,Volkswagen,Passat
Алматы,2015,седан,1.4,97000,механика,слева,синий металлик,передний привод,Да,бензин,4100000,Hyundai,Accent
Нур-Султан (Астана),2008,седан,1.3,161000,автомат,слева,черный,передний привод,Да,бензин,3500000,Toyota,Yaris
Алматы,2019,седан,1.6,17000,автомат,слева,голубой,передний привод,Да,бензин,6600000,Kia,Rio
Усть-Каменогорск,2001,микроавтобус,3.4,130000,автомат,справа,белый металлик,полный привод,Да,бензин,6200000,Toyota,Granvia
Алматы,2019,седан,1.6,41000,механика,слева,серебристый,передний привод,Да,бензин,5700000,Volkswagen,Polo
Актобе,2008,седан,2.5,170000,автомат,слева,черный,передний привод,Да,газ-бензин,3900000,Nissan,Altima
Актобе,2014,седан,1.6,122000,механика,слева,серебристый,передний привод,Да,бензин,4100000,Kia,Rio
